#elements 	 time
1 	 3.398179
2 	 1.359271
3 	 1.019454
4 	 0.679636
5 	 1.019454
6 	 1.019454
7 	 1.019454
8 	 1.019454
9 	 1.019454
10 	 619.487942
11 	 981.054135
12 	 947.072350
13 	 959.305793
14 	 937.217633
15 	 1943.078471
16 	 1939.000657
17 	 1960.409181
18 	 2940.443863
19 	 2947.580038
20 	 3950.722334
21 	 3942.906523
22 	 3935.770348
23 	 4963.039711
24 	 4929.737562
25 	 5958.706014
26 	 5938.996579
27 	 6939.760150
28 	 6951.653775
29 	 7930.329185
30 	 8957.938366
31 	 8933.811298
32 	 9948.847219
33 	 9957.342665
34 	 10942.134797
35 	 11943.238185
36 	 11939.160371
37 	 12951.817567
38 	 13936.269881
39 	 14922.081466
40 	 15983.672432
41 	 15977.555711
42 	 16979.678553
43 	 17997.093198
44 	 18940.087734
45 	 19933.715130
46 	 20937.876879
47 	 21937.620996
48 	 22965.569995
49 	 23960.556662
50 	 24972.874040
51 	 25942.714186
52 	 26939.399943
53 	 27921.813350
54 	 28946.703988
55 	 29926.738670
56 	 30963.862750
57 	 31978.898671
58 	 32969.467706
59 	 33963.774737
60 	 35995.885485
61 	 36937.860568
62 	 37932.507417
63 	 38930.552445
64 	 39946.268001
65 	 41925.367165
66 	 42973.705235
67 	 43978.206802
68 	 45981.772850
69 	 46937.000829
70 	 48944.304874
71 	 49920.601559
72 	 50938.695840
73 	 52965.369503
74 	 53974.628520
75 	 55920.085716
76 	 56956.869979
77 	 58945.144224
78 	 59935.713259
79 	 61953.551657
80 	 63939.447178
81 	 64934.773663
82 	 66947.174975
83 	 67902.063136
84 	 69971.893666
85 	 72003.664596
86 	 72940.202593
87 	 74907.747949
88 	 77003.404635
89 	 78935.269117
90 	 80904.853380
91 	 81958.628536
92 	 83962.874220
93 	 85972.217172
94 	 87971.365589
95 	 89976.290909
96 	 91975.099507
97 	 93959.295938
98 	 95982.911240
99 	 97956.233500
100 	 99963.537545
101 	 101978.997218
102 	 103973.048367
103 	 105962.681883
104 	 107967.947021
105 	 109968.454709
106 	 111973.040211
107 	 113968.790449
108 	 115970.997226
109 	 117970.145643
110 	 120959.183458
111 	 122984.158032
112 	 124954.761749
113 	 126969.201968
114 	 128972.768017
115 	 131973.019822
116 	 133970.129331
117 	 135973.695380
118 	 138961.373924
119 	 140976.493780
120 	 143966.551049
